CustomerID,TransactionID,TransactionDate,AmountSpent,ProductCategory,Age,Gender,MaritalStatus,IncomeLevel,InteractionID,InteractionDate,InteractionType,ResolutionStatus,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
1,7194,2022-03-27,416.5,Electronics,62,M,Single,Low,6363.0,2022-03-31,Inquiry,Resolved,2023-10-21,34,Mobile App,0
2,7250,2022-08-08,54.96,Clothing,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,9660,2022-07-25,197.5,Electronics,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,2998,2022-01-25,101.31,Furniture,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,1228,2022-07-24,397.37,Clothing,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,8903,2022-01-09,285.21,Electronics,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,3527,2022-09-16,311.34,Electronics,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,9279,2022-11-19,199.73,Groceries,65,M,Married,Low,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
3,9839,2022-10-08,241.06,Books,18,M,Single,Low,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
3,7364,2022-08-15,51.07,Clothing,18,M,Single,Low,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
3,4967,2022-09-17,419.95,Furniture,18,M,Single,Low,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
3,1646,2022-07-09,287.72,Groceries,18,M,Single,Low,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
3,7806,2022-03-02,299.86,Groceries,18,M,Single,Low,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
3,7329,2022-02-11,403.32,Furniture,18,M,Single,Low,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
4,3394,2022-07-31,125.64,Electronics,21,M,Widowed,Low,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
4,3394,2022-07-31,125.64,Electronics,21,M,Widowed,Low,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
4,1211,2022-12-01,123.59,Groceries,21,M,Widowed,Low,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
4,1211,2022-12-01,123.59,Groceries,21,M,Widowed,Low,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
4,4235,2022-12-22,241.45,Electronics,21,M,Widowed,Low,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
4,4235,2022-12-22,241.45,Electronics,21,M,Widowed,Low,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
4,3419,2022-12-27,44.22,Clothing,21,M,Widowed,Low,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
4,3419,2022-12-27,44.22,Clothing,21,M,Widowed,Low,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
4,7670,2022-05-22,382.39,Furniture,21,M,Widowed,Low,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
4,7670,2022-05-22,382.39,Furniture,21,M,Widowed,Low,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
5,1742,2022-02-21,475.69,Groceries,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,9349,2022-08-12,178.91,Furniture,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,7200,2022-12-02,373.51,Groceries,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,4938,2022-10-21,155.76,Electronics,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,5357,2022-07-04,308.8,Electronics,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,6791,2022-08-31,219.98,Furniture,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,7592,2022-12-21,218.98,Electronics,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
5,9249,2022-05-25,69.86,Groceries,21,M,Divorced,Medium,NoInteraction,,None,None,2023-10-27,41,Website,0
6,6635,2022-08-11,365.57,Books,57,F,Divorced,Medium,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
6,3772,2022-10-29,448.86,Clothing,57,F,Divorced,Medium,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
6,6237,2022-08-09,41.7,Furniture,57,F,Divorced,Medium,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
6,8661,2022-07-03,104.0,Furniture,57,F,Divorced,Medium,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
6,9155,2022-10-18,204.16,Electronics,57,F,Divorced,Medium,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
7,8762,2022-10-24,86.73,Books,27,F,Married,High,NoInteraction,,None,None,2023-01-07,32,Mobile App,0
8,4215,2022-10-25,263.24,Books,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,4215,2022-10-25,263.24,Books,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
8,2500,2022-11-09,483.91,Clothing,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,2500,2022-11-09,483.91,Clothing,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
8,1383,2022-07-06,240.92,Books,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,1383,2022-07-06,240.92,Books,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
8,6171,2022-06-10,346.24,Clothing,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,6171,2022-06-10,346.24,Clothing,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
8,1807,2022-07-13,253.68,Furniture,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,1807,2022-07-13,253.68,Furniture,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
8,5759,2022-09-26,161.56,Electronics,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,5759,2022-09-26,161.56,Electronics,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
8,9841,2022-03-10,297.33,Furniture,37,M,Single,Low,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
8,9841,2022-03-10,297.33,Furniture,37,M,Single,Low,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
9,7332,2022-06-02,96.67,Electronics,39,M,Divorced,High,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,0
9,4938,2022-06-11,472.21,Clothing,39,M,Divorced,High,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,0
9,9647,2022-01-13,44.26,Groceries,39,M,Divorced,High,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,0
9,9438,2022-10-19,378.14,Groceries,39,M,Divorced,High,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,0
9,4713,2022-05-26,325.96,Clothing,39,M,Divorced,High,7813.0,2022-08-15,Inquiry,Resolved,2023-06-27,24,Website,0
10,3487,2022-09-07,5.86,Furniture,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
10,7614,2022-10-31,35.29,Clothing,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
10,5052,2022-08-02,303.4,Groceries,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
10,4074,2022-09-08,223.85,Furniture,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
10,7393,2022-01-19,471.18,Furniture,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
10,5096,2022-06-05,179.0,Groceries,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
10,9067,2022-09-10,178.78,Electronics,68,M,Married,High,NoInteraction,,None,None,2023-01-13,29,Online Banking,1
11,6848,2022-06-06,334.62,Books,54,M,Divorced,Medium,6610.0,2022-10-28,Feedback,Resolved,2023-01-22,30,Online Banking,0
11,6848,2022-06-06,334.62,Books,54,M,Divorced,Medium,7511.0,2022-01-26,Feedback,Unresolved,2023-01-22,30,Online Banking,0
11,2486,2022-03-01,462.0,Groceries,54,M,Divorced,Medium,6610.0,2022-10-28,Feedback,Resolved,2023-01-22,30,Online Banking,0
11,2486,2022-03-01,462.0,Groceries,54,M,Divorced,Medium,7511.0,2022-01-26,Feedback,Unresolved,2023-01-22,30,Online Banking,0
11,5349,2022-09-22,163.78,Books,54,M,Divorced,Medium,6610.0,2022-10-28,Feedback,Resolved,2023-01-22,30,Online Banking,0
11,5349,2022-09-22,163.78,Books,54,M,Divorced,Medium,7511.0,2022-01-26,Feedback,Unresolved,2023-01-22,30,Online Banking,0
11,8270,2022-12-14,426.06,Books,54,M,Divorced,Medium,6610.0,2022-10-28,Feedback,Resolved,2023-01-22,30,Online Banking,0
11,8270,2022-12-14,426.06,Books,54,M,Divorced,Medium,7511.0,2022-01-26,Feedback,Unresolved,2023-01-22,30,Online Banking,0
11,9437,2022-10-03,347.37,Groceries,54,M,Divorced,Medium,6610.0,2022-10-28,Feedback,Resolved,2023-01-22,30,Online Banking,0
11,9437,2022-10-03,347.37,Groceries,54,M,Divorced,Medium,7511.0,2022-01-26,Feedback,Unresolved,2023-01-22,30,Online Banking,0
12,6450,2022-11-02,87.1,Electronics,41,F,Married,Low,8485.0,2022-11-29,Feedback,Resolved,2023-12-31,43,Website,0
